1;51316100
2;74560500
3;85563000
4;102720500
5;126916200
6;133483300
7;156230100
8;173058600
9;201911000
10;206010300
11;224477300
12;243984500
13;274821400
14;318042500
15;312080900
16;325957500
17;350573500
18;366454600
19;386990200
20;405487000
21;420335800
22;457230900
23;467311900
24;505280300
25;514804600
26;536712200
27;546236900
28;574293300
29;610817100
30;632535600
31;658198900
32;672449700
33;695329300
34;721054100
35;731836000
36;754446000
37;771214500
38;788336100
39;807422000
40;838106500
41;842630100
42;859141800
43;866674500
44;896431900
45;929438600
46;948759200
47;956753400
48;975977000
49;1003165000
50;1011804900
51;1037100600
52;1083802000
53;1112878000
54;1116865000
55;1139426300
56;1177100100
57;1194244100
58;1192225800
59;1225373700
60;1251943900
61;1277011300
62;1288026500
